id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
35113,Witch Hunter,KR,2006,71.0,6746,0.44017603098706254,0.2615970514230933,0.37009814423800635,"Witch, Magic, Guns, Curses",
136331,The Return of the 8th Class Mage,KR,2021,74.0,26190,0.43998449383856647,0.38794854595713274,0.5093071558732198,"Age Regression, Magic, Revenge, Politics, Full Color",
172623,"Act Like a Boss Monster, Mr. Swallow!",KR,2023,71.0,9494,0.43982861308397453,0.3540138943742943,0.4752366785001406,"Demons, Dungeon, Full Color, Magic, Anti-Hero",
116534,"Welcome Back, Alice",JP,2020,70.0,17916,0.4396661181266969,0.2581535467616969,0.2230623879953175,"Primarily Teen Cast, Psychosexual, Agender, LGBTQ+ Themes, Love Triangle",
154349,Kindergarten Wars,JP,2022,76.0,15373,0.4396554905364677,0.21903630091307852,0.4093206454425635,"Assassins, Female Protagonist, Surreal Comedy, Teacher, Crime",
133038,The Villainess Flips the Script!,KR,2021,78.0,11750,0.4395726759944954,0.14356635243325894,0.22446439366527293,"Reincarnation, Heterosexual, Long Strip, Family Life, Female Protagonist",
30743,21st Century Boys,JP,2006,82.0,36271,0.43952934879833544,0.32567477236082104,0.3336484675833474,"Conspiracy, Seinen, Cult, Ghost, Tragedy",
136099,To Not Die,KR,2021,73.0,7204,0.43942117123705543,0.3074367078379381,0.4419347058625238,"Revenge, Delinquents, Bullying, Full Color, Male Protagonist",
107518,Heavenly Demon Reborn!,KR,2018,77.0,17681,0.43928209396117435,0.3234431166315698,0.5442086737961631,"Martial Arts, Revenge, Cultivation, Reincarnation, Conspiracy",
137158,Tenkaichi: The Greatest Warrior Under the Rising Sun,JP,2021,75.0,8138,0.43904526516128856,0.3299455500777666,0.4810726737715514,"Martial Arts, Seinen, Ensemble Cast, Swordplay, Spearplay",
153994,My F-Rank High School Life,KR,2022,66.0,13506,0.4389641114562246,0.22884034278984378,0.46478924943971656,"Male Protagonist, Urban Fantasy, Full Color, School, Bullying",
109661,"Hello, Melancholic!",JP,2019,75.0,6596,0.4386915299215365,0.047656461102976916,0.036827616639892674,"Band, LGBTQ+ Themes, School Club, Yuri, School",
85139,"My Monster Secret: Actually, I Am…",JP,2013,78.0,18211,0.43864618251722937,0.16514850736112552,0.3527042629680205,"School, Vampire, Heterosexual, Male Protagonist, Monster Girl",
